gen,pop-id, pop-size, hetero., mean-phenotype, optimal-phenotype
224,p1,148,2.98868e-05,-1.06934,10
225,p1,114,2.94498e-05,-1.01724,10
226,p1,137,2.82218e-05,-0.472385,10
227,p1,191,2.75513e-05,-0.778469,10
228,p1,106,2.82067e-05,-0.686469,10
229,p1,173,2.66053e-05,-0.900553,10
230,p1,139,2.50849e-05,-0.259108,10
231,p1,104,2.78287e-05,-0.525752,10
232,p1,122,2.77301e-05,-0.168992,10
233,p1,131,2.68915e-05,-0.636909,10
234,p1,172,2.80467e-05,-0.614831,10
235,p1,155,2.67638e-05,-0.722101,10
236,p1,121,2.49904e-05,-0.693348,10
237,p1,148,2.66433e-05,-0.645895,10
238,p1,125,2.78566e-05,-0.444067,10
239,p1,136,2.75922e-05,-1.00716,10
240,p1,110,3.01574e-05,-0.614821,10
241,p1,92,2.92634e-05,-0.0975664,10
242,p1,107,2.8199e-05,-0.148679,10
243,p1,148,2.90801e-05,-0.273985,10
244,p1,165,2.7553e-05,-0.392479,10
245,p1,131,2.70992e-05,-0.308757,10
246,p1,130,3.1108e-05,-0.284037,10
247,p1,179,3.10217e-05,-0.517094,10
248,p1,124,3.16132e-05,-0.3494,10
249,p1,77,3.21302e-05,-0.595788,10
250,p1,91,3.17951e-05,-0.493517,10
251,p1,182,3.04092e-05,-0.0187746,10
252,p1,106,3.29116e-05,-0.367075,10
253,p1,116,3.22574e-05,-0.219338,10
254,p1,161,3.13015e-05,-0.168564,10
255,p1,165,2.94173e-05,-0.147354,10
256,p1,113,2.62683e-05,-0.228585,10
257,p1,184,2.44205e-05,-0.127174,10
258,p1,138,2.88238e-05,-0.0715941,10
259,p1,157,2.59088e-05,0.530101,10
260,p1,127,2.58475e-05,0.358126,10
261,p1,140,2.69166e-05,0.33306,10
262,p1,128,2.69525e-05,0.676952,10
263,p1,200,2.85e-05,0.880888,10
264,p1,138,2.64191e-05,0.825399,10
265,p1,101,2.38697e-05,0.993133,10
266,p1,148,2.2576e-05,0.896687,10
267,p1,183,2.55921e-05,0.801072,10
268,p1,109,2.47096e-05,0.915669,10
269,p1,133,2.30539e-05,0.604058,10
270,p1,158,2.42896e-05,0.642912,10
271,p1,107,2.83383e-05,0.595594,10
272,p1,113,2.84482e-05,1.1894,10
273,p1,134,2.76261e-05,1.12301,10
274,p1,150,2.82691e-05,0.949498,10
275,p1,177,2.8803e-05,1.22746,10
276,p1,169,2.73418e-05,1.01309,10
277,p1,132,2.60887e-05,0.953488,10
278,p1,155,2.73602e-05,1.2382,10
279,p1,110,2.86161e-05,1.20137,10
280,p1,145,3.04159e-05,1.30928,10
281,p1,143,2.91846e-05,1.39447,10
282,p1,161,3.19394e-05,1.49726,10
283,p1,125,2.74118e-05,1.24279,10
284,p1,151,3.04577e-05,1.18867,10
285,p1,112,2.98537e-05,1.52583,10
286,p1,190,2.90413e-05,1.3021,10
287,p1,99,2.73799e-05,1.17819,10
288,p1,151,2.74359e-05,1.3326,10
289,p1,163,2.92661e-05,1.3597,10
290,p1,135,2.58944e-05,1.11829,10
291,p1,103,2.82444e-05,1.25971,10
292,p1,122,2.50934e-05,1.05725,10
293,p1,143,2.63037e-05,1.18714,10
294,p1,131,2.71246e-05,1.12699,10
295,p1,143,2.66957e-05,1.14941,10
296,p1,146,2.40646e-05,0.944132,10
297,p1,131,2.31636e-05,0.799107,10
298,p1,127,2.40297e-05,0.866234,10
299,p1,172,2.51883e-05,0.848631,10
300,p1,131,2.55883e-05,0.837251,10
301,p1,149,2.2463e-05,0.712669,10
302,p1,97,2.14438e-05,0.563341,10
303,p1,162,2.19441e-05,0.5966,10
304,p1,120,2.29972e-05,0.360472,10
305,p1,170,2.21085e-05,0.370452,10
306,p1,140,2.02962e-05,0.263076,10
307,p1,138,2.04135e-05,0.354744,10
308,p1,144,2.1658e-05,0.365602,10
309,p1,149,2.39852e-05,0.430964,10
310,p1,84,2.4392e-05,0.427013,10
311,p1,131,2.45201e-05,0.341537,10
312,p1,131,2.23218e-05,0.210024,10
313,p1,152,2.37134e-05,0.0866491,10
314,p1,179,2.41654e-05,0.105822,10
315,p1,99,1.93715e-05,-0.0176344,10
316,p1,125,1.9871e-05,0.164023,10
317,p1,162,2.12563e-05,0.296766,10
318,p1,153,2.29749e-05,0.306497,10
319,p1,164,2.24608e-05,0.197552,10
320,p1,159,2.30092e-05,0.268125,10
321,p1,96,2.48269e-05,0.405358,10
322,p1,149,2.59909e-05,0.444373,10
323,p1,147,2.53901e-05,0.34328,10
324,p1,159,2.66833e-05,0.636841,10
